Date,AAPL,AMZN,CVX,GS,JNJ,JPM,MSFT,NVDA,PFE,PG,SPY,XOM
2025-04-21,192.50172424316406,167.32000732421875,129.22291564941406,493.7691345214844,153.47801208496094,225.77110290527344,357.2050476074219,96.89241790771484,20.89266586303711,163.48098754882812,509.443359375,102.52935791015625
2025-04-22,199.059326171875,173.17999267578125,132.67259216308594,512.1170654296875,154.28981018066406,232.27833557128906,364.864013671875,98.87205505371094,21.35715675354004,165.5818328857422,522.697998046875,105.40038299560547
2025-04-23,203.9027557373047,180.60000610351562,132.073486328125,521.2959594726562,151.9718017578125,237.4939727783203,372.3936462402344,102.69136047363281,21.224443435668945,163.46124267578125,530.79736328125,104.49527740478516
2025-04-24,207.65989685058594,186.5399932861328,134.38294982910156,537.11279296875,151.53164672851562,241.20111083984375,385.2347717285156,106.41067504882812,21.59414291381836,157.34613037109375,541.9701538085938,105.7215347290039
2025-04-25,208.56678771972656,188.99000549316406,134.05441284179688,536.6105346679688,151.18934631347656,240.12644958496094,389.7605285644531,110.98986053466797,21.72685432434082,158.81573486328125,545.885986328125,105.66314697265625
2025-04-28,209.42388916015625,187.6999969482422,135.37823486328125,538.1272583007812,151.9424591064453,239.8010711669922,389.0741882324219,108.71026611328125,21.850086212158203,159.63438415527344,546.0941772460938,105.7215347290039
2025-04-29,210.490234375,187.38999938964844,134.60519409179688,540.6090698242188,152.49017333984375,241.181396484375,391.9388427734375,109.00021362304688,22.551565170288086,160.03875732421875,549.5341796875,105.45877838134766
2025-04-30,211.7758331298828,184.4199981689453,131.47439575195312,539.2598266601562,152.8813934326172,241.181396484375,393.1523742675781,108.90023040771484,23.139291763305664,160.3445281982422,549.7523803710938,102.80186462402344
2025-05-01,212.59304809570312,190.1999969482422,131.6676483154297,545.4447631835938,151.07199096679688,243.41949462890625,423.1316223144531,111.5897445678711,22.684276580810547,157.7899627685547,553.6483764648438,102.94784545898438
2025-05-02,204.65020751953125,189.97999572753906,133.8321533203125,557.5289306640625,152.695556640625,248.96047973632812,432.95892333984375,114.4792251586914,22.940221786499023,158.32257080078125,561.8668212890625,103.3663330078125
2025-05-05,198.21221923828125,186.35000610351562,130.93325805664062,551.0879516601562,151.60012817382812,249.00979614257812,433.8442077636719,113.79934692382812,22.62740135192871,156.65573120117188,558.6448974609375,100.50504302978516
2025-05-06,197.83351135253906,185.00999450683594,131.02989196777344,541.0423583984375,151.08175659179688,245.74630737304688,430.99945068359375,113.51940155029297,21.688936233520508,157.06996154785156,553.9755249023438,101.906494140625
2025-05-07,195.58120727539062,188.7100067138672,131.21348571777344,543.5635986328125,153.8496856689453,245.8843536376953,431.03924560546875,117.03875732421875,21.60362434387207,157.10940551757812,556.3052978515625,101.80917358398438
2025-05-08,196.81698608398438,192.0800018310547,132.42135620117188,557.135009765625,152.2456512451172,249.906982421875,435.83355712890625,117.34870910644531,21.77425193786621,156.47817993164062,560.1815185546875,103.23008728027344
2025-05-09,197.8534393310547,193.05999755859375,133.82249450683594,558.5137329101562,150.8372344970703,249.52247619628906,436.39056396484375,116.62882995605469,21.52308464050293,155.50173950195312,559.4677734375,104.43687438964844
2025-05-12,210.3471221923828,208.63999938964844,136.8470001220703,582.3868408203125,150.75900268554688,256.3945007324219,446.8643798828125,122.9776840209961,22.305566787719727,158.69737243652344,577.9567260742188,106.23735809326172
2025-05-13,212.48263549804688,211.3699951171875,137.5524139404297,594.66796875,145.1840362548828,259.3128967285156,446.74505615234375,129.9064178466797,22.093040466308594,156.5570831298828,581.7734985351562,106.52931213378906
2025-05-14,211.8839111328125,210.25,136.8953094482422,602.3400268554688,143.14964294433594,261.90594482421875,450.5247497558594,135.3154296875,21.27191925048828,155.8568115234375,582.5170288085938,105.57556915283203
2025-05-15,211.00575256347656,205.1699981689453,137.46543884277344,606.5750122070312,146.328369140625,263.72991943359375,451.5412292480469,134.80552673339844,21.83221435546875,160.18670654296875,585.3622436523438,106.64614868164062
2025-05-16,210.81614685058594,205.58999633789062,137.3108367919922,609.6575927734375,148.01065063476562,263.7989196777344,452.67718505859375,135.37542724609375,22.054399490356445,161.04478454589844,589.0699462890625,106.26309967041016
2025-05-19,208.3413543701172,206.16000366210938,135.45249938964844,603.0294189453125,149.1451873779297,261.1566162109375,457.26104736328125,135.54539489746094,22.218624114990234,162.514404296875,589.7142944335938,104.57372283935547
2025-05-20,206.42539978027344,204.07000732421875,134.25926208496094,597.3369750976562,150.28952026367188,261.9453430175781,456.56353759765625,134.35562133789062,22.72096061706543,163.3724822998047,587.7315673828125,103.08079528808594
